dataset	fold	drop_ungated_training	drop_ungated_test	gmm_parameterization	status	validation_status	process_returncode	runner_commit	output_archive_sha256
FR-FCM-Z238	5	true	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	7cdf49fd6767e45449aa7ce428726cbbea34dd427510edda44b4bcc0703434a0
FR-FCM-Z238	5	true	true	E	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	706e4ac3087696a69fca33bf9c3152d82a033a3c7699e346bba3cc0a3eec037d
FR-FCM-Z238	5	true	true	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	1eba3b3a9919641ed86ea6dc1c291b04dae189d344e4352d64f5528646e69b30
FR-FCM-Z2KP-covid	1	false	false	E	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	b13293db76ec252ea81dd2f93695990a3025229f992c555f501634c7e92b7b4f
FR-FCM-Z2KP-covid	1	false	false	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	279c1e63a8b8e751213c735a3ca273ea02f21ced1cbb2f4c5e22a0a817ff87f8
FR-FCM-Z2KP-covid	1	true	false	E	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	3eb4e97fd70421664906c596b0b3ec0c0d1e230aa02643a39452c10976387cf9
FR-FCM-Z2KP-covid	1	true	false	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	2df18189431a20d49fa10cbb035d2eb9e78527a869bdefc90962a493c978afb1
FR-FCM-Z2KP-covid	1	true	true	E	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	1ee21affaf519b1c0e64cbda75e51a3ea6c06e005e8f1fce8dd00d02830dbd74
FR-FCM-Z2KP-covid	1	true	true	V	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	e446a6f9b906266747febaef10141ae62e0cbbe4b34e94f5c7029c97bfa54a57
FR-FCM-Z2KP-covid	2	false	false	E	interrupted	NOT_RUN	-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z2KP-covid	2	false	false	V	interrupted	NOT_RUN	-15	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z2KP-covid	2	true	false	E	pending				NA
FR-FCM-Z2KP-covid	2	true	false	V	pending				NA
FR-FCM-Z2KP-covid	2	true	true	E	pending				NA
FR-FCM-Z2KP-covid	2	true	true	V	pending				NA
FR-FCM-Z2KP-covid	3	false	false	E	pending				NA
FR-FCM-Z2KP-covid	3	false	false	V	pending				NA
FR-FCM-Z2KP-covid	3	true	false	E	pending				NA
FR-FCM-Z2KP-covid	3	true	false	V	pending				NA
FR-FCM-Z2KP-covid	3	true	true	E	pending				NA
FR-FCM-Z2KP-covid	3	true	true	V	pending				NA
FR-FCM-Z2KP-covid	4	false	false	E	pending				NA
FR-FCM-Z2KP-covid	4	false	false	V	pending				NA
FR-FCM-Z2KP-covid	4	true	false	E	pending				NA
FR-FCM-Z2KP-covid	4	true	false	V	pending				NA
FR-FCM-Z2KP-covid	4	true	true	E	pending				NA
FR-FCM-Z2KP-covid	4	true	true	V	pending				NA
FR-FCM-Z2KP-covid	5	false	false	E	pending				NA
FR-FCM-Z2KP-covid	5	false	false	V	pending				NA
FR-FCM-Z2KP-covid	5	true	false	E	pending				NA
FR-FCM-Z2KP-covid	5	true	false	V	pending				NA
FR-FCM-Z2KP-covid	5	true	true	E	pending				NA
FR-FCM-Z2KP-covid	5	true	true	V	pending				NA
FR-FCM-Z3YR	1	false	false	E	timed_out		124	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	1	false	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	b4d850fa2096ef96a9de27dd5a935bf6c1141ed683b775ac589886f900c6da61
FR-FCM-Z3YR	1	true	false	E	timed_out		124	da3fcb906345c5bd5dff879c34c548d25a3df9f8	NA
FR-FCM-Z3YR	1	true	false	V	passed	PASS	0	68f94fb5f57d2ce27a0d70f8912ff2e48994f925	a84ed188e2d3df9a37ff0c83a29e5067a7b6b8d8b81f96992ab87ea7e2a76aee
FR-FCM-Z3YR	1	true	true	E	passed	PASS	0	da3fcb906345c5bd5dff879c34c548d25a3df9f8	61436b9d57e0e081ad28882bc2ae37067263bae73a7099fd140601d3d066c298
